run_name,architecture,eval_mode,cv_ap_all_events_mean,cv_ap_all_events_sampled_mean,cv_ap_labeled_mean,cv_ap_proxy_lastday_mean,cv_valid_pos_rate_primary_mean,include_unlabeled,submission_path
seq_first_smoke_fullweek_eval_check,seq-first + XGB + h20+burst + U0.01,full_week_unsampled,0.0066342951807455,0.8004522863318948,0.9111605719088484,0.0266412733920288,0.0012416666666666,1.0,artifacts/submission_sequence_first.csv
seq_first_full_006_h20_burst_fullweek_eval_u001_cat_v4,seq-first + CATBOOST + h20+burst + U0.01,full_week_unsampled,0.0037714821083116,0.8162888090160167,0.9194648587704556,0.0065211725562859,0.0005695910776504,1.0,artifacts/submissions/seq_first_full_006_h20_burst_fullweek_eval_u001_cat_v4__submission_sequence_first.csv
seq_first_full_005_h20_burst_fullweek_eval_u001,seq-first + XGB + h20+burst + U0.01,full_week_unsampled,0.0020657869944699,0.8117040437888732,0.9160083364652628,0.0032648674769061,0.0005695910776504,1.0,artifacts/submission_sequence_first.csv
seq_first_full_004_h20_burst_lbproxy_u001,seq-first + XGB + h20+burst + U0.01,sampled_week_only,0.8117040437888732,,0.9160083364652628,0.7763607045372858,,1.0,artifacts/submission_sequence_first.csv
