run_name,model_family,eval_mode,cv_ap_all_events_mean,cv_ap_all_events_sampled_mean,cv_valid_pos_rate_primary_mean
seq_first_full_004_h20_burst_lbproxy_u001,xgb,sampled_week_only,0.8117040437888732,,
seq_first_smoke_fullweek_eval_check,xgb,full_week_unsampled,0.0066342951807455,0.8004522863318948,0.0012416666666666
seq_first_full_006_h20_burst_fullweek_eval_u001_cat_v4,catboost,full_week_unsampled,0.0037714821083116,0.8162888090160167,0.0005695910776504
seq_first_full_005_h20_burst_fullweek_eval_u001,xgb,full_week_unsampled,0.0020657869944699,0.8117040437888732,0.0005695910776504
